fishery_name,est_cg,param,bias_type,mean,sd,median,q2.5,q10,q90,q97.5,rhat,ess_bulk,ess_tail,post_var,prior_sigma,prior_var,prior_contraction,fit_config,model_file,n_div,runtime_sec,b_trailer_informed,b_weakly_informed,informed_flag
Skagit spring Chinook 2023 lower,Chinook_Adult_AD_Kept,b[2],trailer,0.8144891115916177,0.17272801139303903,0.8033632250310565,0.5235700514865426,0.6046056498964114,1.062240022015624,1.189836875116137,1.0057505923222103,458.80286341330594,429.5818250265548,0.02983496591979382,1,4.670774270471604,0.9936124153743826,quick,BSS_creel_model_02_2021-01-22_ppc.stan,32,56.51935601234436,TRUE,FALSE,informed
Skagit spring Chinook 2023 upper,Chinook_Adult_AD_Kept,b[1],vehicle,2.0861249904664665,0.33333324770394035,2.0812958529539456,1.5269625513079903,1.6543641799416615,2.541474418081211,2.795222447959545,1.0068265020370084,675.4902556525118,511.4484659478271,0.11111105402485644,1,4.670774270471604,0.9762114271444684,quick,BSS_creel_model_02_2021-01-22_ppc.stan,10,91.65720415115356,TRUE,FALSE,informed
Skagit spring Chinook 2023 upper,Chinook_Adult_AD_Kept,b[2],trailer,1.243351301124373,0.27100459805203414,1.207338955124892,0.8043631488575015,0.9333138273114258,1.6088691349497497,1.8393594893875584,1.001723798170475,537.5970272540407,428.1006944412411,0.07344349216534458,1,4.670774270471604,0.9842759491440958,quick,BSS_creel_model_02_2021-01-22_ppc.stan,10,91.65720415115356,TRUE,FALSE,informed
Skagit summer sockeye 2023,Sockeye_Adult_AD|UM_Kept,b[1],vehicle,1.0620639788801527,0.1158517974686034,1.057834876966819,0.8511169156864149,0.9164511469654166,1.2049208241929812,1.3037734835013728,1.0038694404466664,603.1858070287518,314.30899815082444,0.0134216389767063,1,4.670774270471604,0.997126463793903,quick,BSS_creel_model_02_2021-01-22_ppc.stan,13,88.69009590148926,TRUE,FALSE,informed
Skagit summer sockeye 2023,Sockeye_Adult_AD|UM_Kept,b[2],trailer,2.0393588550138113,0.5071136787647964,2.0020339283968225,1.1938450843412938,1.4475347424982852,2.6987244192058557,3.2262928166530993,1.0169978726666722,240.88170544959243,180.6910509839763,0.2571642831903651,1,4.670774270471604,0.9449418301337864,quick,BSS_creel_model_02_2021-01-22_ppc.stan,13,88.69009590148926,TRUE,FALSE,informed
Skagit fall salmon 2024,Coho_Adult_AD|UM_Kept,b[1],vehicle,0.7838173071632935,0.03569906996905826,0.7835155292885241,0.7171930627083433,0.7369802524079747,0.8301452927301398,0.8531932908051938,0.9991919332754516,518.6270590021488,502.67095255321345,0.00127442359665571,1,4.670774270471604,0.9997271493926152,quick,BSS_creel_model_02_2021-01-22_ppc.stan,0,1511.7270641326904,TRUE,FALSE,informed
Skagit fall salmon 2024,Coho_Adult_AD|UM_Kept,b[2],trailer,0.6782302285859713,0.0387791870956813,0.6764526018872101,0.599866307780831,0.6306201853753831,0.7291844075547957,0.7529025448693931,1.0023098832850836,387.28351791801794,399.65553360374776,0.00150382535180185,1,4.670774270471604,0.999678035104092,quick,BSS_creel_model_02_2021-01-22_ppc.stan,0,1511.7270641326904,TRUE,FALSE,informed
Skagit spring Chinook 2024 lower,Chinook_Adult_AD_Kept,b[1],vehicle,0.8732897599158511,0.11233817432978768,0.8737133063047913,0.6657733747846726,0.7283846566876677,1.0168757113257734,1.1103749359323385,1.0010045873874462,308.2456122458993,420.0456343445304,0.01261986541174976,1,4.670774270471604,0.9972981213218692,quick,BSS_creel_model_02_2021-01-22_ppc.stan,11,74.25200200080872,TRUE,FALSE,informed
Skagit spring Chinook 2024 lower,Chinook_Adult_AD_Kept,b[2],trailer,0.5531481925916716,0.09449560030445232,0.5426237969817647,0.3936798801857452,0.4462573520958292,0.6808915619177401,0.7850419349552762,1.0069068509207215,229.2474765349497,315.54842381957906,0.0089294184768988,1,4.670774270471604,0.9980882359198238,quick,BSS_creel_model_02_2021-01-22_ppc.stan,11,74.25200200080872,TRUE,FALSE,informed
Skagit spring Chinook 2024 upper,Chinook_Adult_AD_Kept,b[1],vehicle,1.4010612578516055,0.13302493884620947,1.3911104708350988,1.159076804853558,1.2375900482686002,1.5769588568811996,1.6682876929908013,1.0006207968947938,643.8064636542069,378.65149059065186,0.01769563435503777,1,4.670774270471604,0.9962114130697968,quick,BSS_creel_model_02_2021-01-22_ppc.stan,7,413.601735830307,TRUE,FALSE,informed
